Timestamp	Age	Ville_maj	Ville	Sexe	  specialite_BAC	 Nationale 	Regional	Generale	Francais	 Anglais	Loisirs	preferee 	detestee 	Skills	specialite	performance	satisfaction	  Quelle est votre filiere d cette specialite ?  						
	21	Tanger	tanger	Femme	SP	14.28	17.75	19.39	Avance	Intermediaire	"Lecture, Voyage, Technologie , Ecriture, Photographie"	Mathematiques	Chimie	"Travail en equipe, Adaptabilite, Creativite, Leadership, Autonomie"	Ingenierie	8	4							
	20	Casa	casa	Homme	SM	13	11	13	Intermediaire	Avance	"Lecture, Technologie "	Informatique	None	"Travail en equipe, Leadership"	Informatique	7	5							
	21	Rabat	rabat	Homme	SP	13.16	15.3	14.61	Intermediaire	Avance	"Musique, Voyage, Cinema, Jeux video, Technologie , Photographie"	Informatique	Litterature	"Communication, Travail en equipe, Adaptabilite, Resolution de problemes, Leadership, Esprit critique, Autonomie"	Informatique	9	5							
	22	Oujda	oujda	Homme	SP	12	9.96	12.93	Debutant	Intermediaire	"Sport, Voyage, Cinema, Jeux video, Benevolat, Photographie"	Informatique	Mathematiques	"Travail en equipe, Adaptabilite, Esprit critique"	Physique	5	1							
	20	Berkane 	berkane 	Femme	SP	13.58	13.9	14.58	Intermediaire	Intermediaire	"Lecture, Sport"	Mathematiques	Histoire	"Travail en equipe, Adaptabilite, Creativite, Resolution de problemes"	Informatique	5	4							
	20	Meknes	meknes	Homme	SP	14.27	15.2	15.58	Intermediaire	Intermediaire	"Lecture, Musique, Jeux video"	Informatique	Langues	"Adaptabilite, Empathie, Autonomie"	Informatique	8	5							
	22	Marrakech 	marrakech 	Homme	SP	12	15.25	13.71	Intermediaire	Avance	"Sport, Voyage, Technologie "	Informatique	Physique	"Adaptabilite, Creativite, Resolution de problemes"	Informatique	4	5							
	20	Taza	taza	Femme	SP	15.78	17.4	16.62	Avance	Avance	"Sport, Technologie "	Informatique	None	"Communication, Creativite, Resolution de problemes"	Informatique	9	5							
	20	Berkane 	berkane 	Femme	SP	12.82	17.66	15.5	Avance	Debutant	"Lecture, Sport, Voyage, Arts plastiques , Photographie"	Informatique	Histoire	"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problemes, Leadership, Autonomie"	Informatique	8	5							
	21	BERKANE	berkane	Homme	SP	15.57	15.5	15.54	Avance	Intermediaire	Sport	Informatique	Litterature	"Travail en equipe, Adaptabilite"	Informatique	7	4							
	21	Taourirt	taourirt	Homme	SP	14	15	15	Avance	Intermediaire	"Sport, Jeux video"	Informatique	Langues	"Adaptabilite, Creativite, Resolution de problemes"	Informatique	7	4							
	18	Marrakech	marrakech	Femme	SP	14	14.6	15	Intermediaire	Intermediaire	"Lecture, Voyage, Benevolat, Technologie "	Informatique	Biologie	"Adaptabilite, Creativite, Esprit critique"	Informatique	4	4							
