Age	    Ville	Sexe  Specialite_2BAC   Note_Nationale	Note_Regionale	Note_Generale	Niveau_Francais	Niveau_Anglais	Loisirs	Matiere_Preferee	Matiere_Detestee	Soft_Skills	Specialite	Performance	Satisfaction
18	    3	    0	    1	            12.5	        18	            15.5	        3	2	2,3,4,5,6,8	2	8	1,2,3,4,5,6,7,8,9,10,11,12	7	8	3
18	    3	    0	    1	            12.5	        18	            15.5	        3	2	2,3,4,5,6,8	2	8	1,2,3,4,5,6,7,8,9,10,11,12	7	8	3
24	    2	    1	    4	            16.98	        13.9	        16.14	        3	3	1,3,4,5,6,8,9,10,11	1	5	1,2,3,4,5,6,7,8,9,10,11,12	2	10	5
24	    2	    1	    4	            16.98	        13.9	        16.14	        3	3	1,3,4,5,6,8,9,10,11	1	5	1,2,3,4,5,6,7,8,9,10,11,12	2	10	5
22	    54	    0	    4	            16.42	        16.92	        16.67	        2	2	2,4,8	7	4	1,2,3,4,5,6,7,8,9,10,11,12	1	8	5
22	    54	    0	    4	            16.42	        16.92	        16.67	        2	2	2,4,8	7	4	1,2,3,4,5,6,7,8,9,10,11,12	1	8	5
18	    6	    1	    4	            12	            15	            12	4	        4	1,2,3,4,5,8,9,10	6	2	1,2,3,4,5,6,7,8,9,10,11,12	2	8	3
18	    6	    1	    4	            12	            15	            12	4	        4	1,2,3,4,5,8,9,10	6	2	1,2,3,4,5,6,7,8,9,10,11,12	2	8	3
19	    0	    0	    4	            11	            15	            13	3	        4	9	2	0	1,2,3,4,5,6,7,8,12	6	8	4
19	    0	    0	    4	            11	            15	            13	3	        4	9	2	0	1,2,3,4,5,6,7,8,12	6	8	4
23	    46	    0	    4	            18.03	        13.5	        16.81	        2	2	1,3	2	5	1,2,3,4,5,6,7,8,9,12	2	8	5
23	    46	    0	    4	            18.03	        13.5	        16.81	        2	2	1,3	2	5	1,2,3,4,5,6,7,8,9,12	2	8	5
31	    7	    1	    4	            17.4	        13.4	        16.11	        3	2	0	3	5	1,2,3,4,6,8,12	17	8	4
31	    7	    1	    4	            17.4	        13.4	        16.11	        3	2	0	3	5	1,2,3,4,6,8,12	17	8	4
19	    3	    0	    1	            15	            17	            16.67	        4	3	1,2,4,6,7,9	5	2	1,2,3,4,5,8,12	7	8	5
19	    3	    0	    1	            15	            17	            16.67	        4	3	1,2,4,6,7,9	5	2	1,2,3,4,5,8,12	7	8	5
21	    0	    1	    4	            16.7	        17.85	        17	4	        3	1,3,4,5,8	1	5	1,2,3,4,6,8,12	2	10	5
21	    0	    1	    4	            16.7	        17.85	        17	4	        3	1,3,4,5,8	1	5	1,2,3,4,6,8,12	2	10	5
22	    48	    1	    7	            12.6	        13.25	        13.51	        3	1	3,4	6	5	1,2,3,4,5,6,12	7	8	4
22	    48	    1	    7	            12.6	        13.25	        13.51	        3	1	3,4	6	5	1,2,3,4,5,6,12	7	8	4
20	    35	    0	    4	            16.47	        16.5	        16.7	        3	2	2,4,6,9	2	1	1,2,3,5,10,12	1	7	3
20	    35	    0	    4	            16.47	        16.5	        16.7	        3	2	2,4,6,9	2	1	1,2,3,5,10,12	1	7	3
24	    2	    1	    4	            15.01	        16.31	        15.51	        3	2	4,7,8,9	7	5	1,2,3,5,6,12	7	8	5
24	    2	    1	    4	            15.01	        16.31	        15.51	        3	2	4,7,8,9	7	5	1,2,3,5,6,12	7	8	5
21	    2	    1	    1	            12.75	        16.17	        14.75	        3	2	2,4,7,11	1	5	1,2,3,5,6,12	2	8	4
21	    2	    1	    1	            12.75	        16.17	        14.75	        3	2	2,4,7,11	1	5	1,2,3,5,6,12	2	8	4
24	    38	    1	    4	            17	            17	            17	3	        3	1,3,9	7	2	1,2,3,5,6,7,8,12	1	9
24	    38	    1	    4	            17	            17	            17	3	        3	1,3,9	7	2	1,2,3,5,6,7,8,12	1	9
