Age,Ville,Sexe,specialite_BAC,Nationale,Regional,Generale,Francais,Anglais,Loisirs,preferee,detestee,Skills,specialite,performance,satisfaction
24,fes,Femme,SP,"15,84","11,08","14,65",Intermediaire,Intermediaire,"Lecture,Sport,Musique,Voyage,Technologie",Mathematiques,Histoire,"Travailenequipe,Adaptabilite,Resolutiondeproblmes,Leadership,Empathie",Ingenierie,8,4
21,sidi slimane,Homme,SP,"16,97","17,45","17,24",Avance,Avance,Sport,Physique,Histoire,"Communication,Adaptabilite,Creativite,Resolutiondeproblmes",Ingenierie,8,4
19,rich,Homme,SP,12,15,14,Intermediaire,Intermediaire,"Sport,Musique,Voyage,Jeuxvideo",Informatique,Litterature,"Travailenequipe,Resolutiondeproblmes",Informatique,7,5
25,fes,Femme,SP,"12,2","14,85","11,6",Intermediaire,Debutant,Artsplastiques,Langues,Physique,Creativite,Arts et design,7,5
22,oujda,Homme,STE,"14,34","15,3","14,58",Avance,Avance,"Sport,Musique,Jeuxvideo,Onepiece",Physique,Litterature,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Empathie",Ingenierie,8,4
29,azrou,Femme,SP,"15,15","13,25","15,37",Intermediaire,Debutant,"Sport,Musique,Voyage,Artsplastiques,Ecriture",Mathematiques,Langues,"Communication,Gestiondutemps",Ingenierie,7,4
23,fes,Homme,SP,"13,5","13,5","13,5",Avance,Intermediaire,"Sport,Musique,Voyage,Cinema,Jeuxvideo",Informatique,Biologie,"Empathie,Espritcritique",Physique,7,2
20,sale,Homme,SE,14,13,15,Avance,Intermediaire,Sport,Mathematiques,Litterature,Travailenequipe,Economie,8,4
31,el hajeb,Femme,SVT,14,12,13,Intermediaire,Debutant,"Lecture,Musique,Cinema",Informatique,Histoire,Travailenequipe,Biologie,5,2
22,tetouan,Homme,STE,"16,35",16,"16,35",Fluent,Intermediaire,"Voyage,Artsplastiques,Technologie,Photographie",Sciences d'ingenieur,Chimie,"Travailenequipe,Creativite,Resolutiondeproblmes,Leadership",Ingenierie,9,5
19,fes,Femme,SP,"12,14","14,43","14,02",Intermediaire,Avance,"Lecture,Musique,Cinema",Informatique,Histoire,Communication,Informatique,5,3
