Age , Ville , Sexe , spécialité_BAC , Nationale , examen_Régional , Note_Générale , Français ,  Anglais , Loisirs , préférée ,  détestée , Skills ,  Spécialité , performance, satisfaction
18,8,1,7,15.58,16.98,16,3,2,"18, 11, 2, 14",11,7,"13, 1, 3",7,7,4
21,11,1,4,14.28,17.75,17.39,3,2,"12, 18, 17, 10, 14",11,2,"13, 1, 5, 11, 3",2,8,4
20,24,1,4,13.58,13.9,14.58,2,2,12,11,5,"13, 1, 5, 12",7,5,4
18,8,1,4,13.56,16.2,15.33,3,2,"16, 18, 2",7,8,"13, 1, 5, 12",7,7,5
23,7,0,1,11,14,12,3,3,"13, 18, 11, 17",11,2,"13, 1, 5, 12, 11, 3",7,9,5
21,5,1,2,15.14,17.2,16.4,3,3,"16, 18, 4, 14",2,8,"13, 1, 8",2,8,4
21,6,1,1,17.18,19.1,18.17,3,4,"12, 10",7,8,"13, 1, 8, 9",7,7,5
20,1,0,1,12.35,18.5,14.89,2,2,"13, 6, 17",7,2,"13, 1, 9",2,6,2
22,15,0,4,12,9.96,12.93,1,2,"16, 18, 6, 11, 4, 14",7,11,"13, 1, 9",14,5,1
20,12,0,1,14.37,14.3,15.37,2,3,"12, 13, 11, 17",7,9,"13, 1, 12, 9, 3",7,8,5
24,8,1,4,15.84,11.08,14.65,2,2,"12, 16, 13, 18, 17",11,5,"13, 1, 12, 8",2,8,4
22,13,0,5,16.35,16,16.35,4,2,"18, 2, 17, 14",16,8,"13, 5, 12, 11",2,9,5
24,7,1,1,14,16,15,3,1,"12, 10",9,5,"13, 10",2,8,4
18,8,1,4,14.2,16.15,15.76,3,2,"12, 13, 18",11,2,"13, 10, 1",7,8,4
21,8,0,7,14,14,15,3,3,"16, 11, 4",5,11,"13, 10, 1, 12, 11",7,7,4
26,8,0,4,14.52,13.9,14.77,4,3,"16, 18, 11, 4",11,8,"13, 10, 1, 12, 11, 3",2,9,4
20,1,0,4,13,14.8,14,3,1,16,14,9,"13, 10, 3",2,6,4
22,8,1,4,16.77,15.65,16.67,3,3,"2, 4, 14",11,5,"13, 10, 5, 3",2,9,5
22,17,0,4,17.21,17.31,17.15,2,3,"16, 13, 18, 6, 11, 17",14,9,"13, 10, 5, 9",7,8,4
21,35,1,4,13.89,16.25,15.75,3,2,"13, 18, 6",8,5,"13, 10, 5, 12, 11",7,1,2
18,8,1,4,14.58,17.1,16.06,3,2,"12, 13, 14",2,11,"13, 10, 9",7,7,4
19,2,1,7,16.18,15.63,16.45,2,2,3,4,8,"13, 10, 12, 9, 3",7,7,5
18,6,1,7,15.46,16.6,16.34,3,4,"12, 13, 6, 11, 10, 14",8,11,"13, 10, 12, 9, 3",7,8,5
20,6,0,1,13,11,13,2,3,"12, 17",7,8,"13, 11",7,7,5
31,5,0,9,11,10,11,2,3,"13, 18",8,8,"13, 11",5,4,3
18,7,0,7,12.52,15.95,14.08,2,3,"16, 13, 18",5,11,"13, 11, 8",7,8,5
19,36,0,4,12,15,14,2,2,"16, 13, 18, 11",7,9,"13, 12",7,7,5
22,8,0,1,10.92,13.9,12.65,2,2,"16, 18, 17, 14",7,2,"13, 12, 8",7,7,3
23,37,0,9,16.73,16,16,2,2,"12, 16, 13, 18, 6",9,9,"13, 12, 9",9,7,3
20,8,0,4,14.5,15.5,15,2,2,12,7,8,"13, 12, 9",7,8,5
